formatted_address,latitude,longitude,google_place_id,input_string,response
1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates,25.197197,55.2743764,ChIJS-JnijRDXz4R4rfO4QLlRf8,"Burj Khalifa ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': '1', 'short_name': '1', 'types': ['street_number']}, {'long_name': 'Sheikh Mohammed bin Rashid Boulevard', 'short_name': 'Sheikh Mohammed bin Rashid Blvd', 'types': ['route']}, {'long_name': 'Downtown Dubai', 'short_name': 'Downtown Dubai', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': '1 Sheikh Mohammed bin Rashid Blvd - Downtown Dubai - Dubai - United Arab Emirates', 'geometry': {'location': {'lat': 25.197197, 'lng': 55.27437639999999}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 25.1985459802915, 'lng': 55.2757253802915}, 'southwest': {'lat': 25.1958480197085, 'lng': 55.2730274197085}}}, 'place_id': 'ChIJS-JnijRDXz4R4rfO4QLlRf8', 'plus_code': {'compound_code': '57WF+VQ Dubai - United Arab Emirates', 'global_code': '7HQQ57WF+VQ'}, 'types': ['establishment', 'point_of_interest', 'premise', 'tourist_attraction']}], 'status': 'OK'}"
Oud Metha - Dubai - United Arab Emirates,25.239126,55.3129667,ChIJMRjTWNJCXz4RblYutfJoBfE,"Oud Metha ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Oud Metha', 'short_name': 'Oud Metha', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Oud Metha - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2476072, 'lng': 55.3171008}, 'southwest': {'lat': 25.2310917, 'lng': 55.3058673}}, 'location': {'lat': 25.239126, 'lng': 55.3129667}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2476072, 'lng': 55.3171008}, 'southwest': {'lat': 25.2310917, 'lng': 55.3058673}}}, 'place_id': 'ChIJMRjTWNJCXz4RblYutfJoBfE', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Lahbab - Dubai - United Arab Emirates,25.0421408,55.5912693,ChIJ1QZ8eBCE9T4R3WLN5z_RzDg,"Lehbab ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Lahbab', 'short_name': 'Lahbab', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Lahbab - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.0682156, 'lng': 55.6170718}, 'southwest': {'lat': 25.0203716, 'lng': 55.56567949999999}}, 'location': {'lat': 25.0421408, 'lng': 55.5912693}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.0682156, 'lng': 55.6170718}, 'southwest': {'lat': 25.0203716, 'lng': 55.56567949999999}}}, 'place_id': 'ChIJ1QZ8eBCE9T4R3WLN5z_RzDg', 'types': ['locality', 'political']}], 'status': 'OK'}"
Za'abeelAl Kifaf - Dubai - United Arab Emirates,25.2346972,55.2963797,ChIJSbp_mNxCXz4Rj_zF4bbHEjU,"Al Kifaf ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Kifaf', 'short_name': 'Al Kifaf', 'types': ['neighborhood', 'political']}, {'long_name': ""Za'abeel"", 'short_name': ""Za'abeel"", 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': ""Za'abeelAl Kifaf - Dubai - United Arab Emirates"", 'geometry': {'bounds': {'northeast': {'lat': 25.239572, 'lng': 55.3041029}, 'southwest': {'lat': 25.2302941, 'lng': 55.29037}}, 'location': {'lat': 25.2346972, 'lng': 55.2963797}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.239572, 'lng': 55.3041029}, 'southwest': {'lat': 25.2302941, 'lng': 55.29037}}}, 'place_id': 'ChIJSbp_mNxCXz4Rj_zF4bbHEjU', 'types': ['neighborhood', 'political']}], 'status': 'OK'}"
Mina Jebel Ali - Dubai - United Arab Emirates,24.9857145,55.0272904,ChIJqQlYMxISXz4RCjDF4Y0MTqE,"Jabal Ali ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Mina Jebel Ali', 'short_name': 'Mina Jebel Ali', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Mina Jebel Ali - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.0396306, 'lng': 55.15686040000001}, 'southwest': {'lat': 24.8917309, 'lng': 54.9486968}}, 'location': {'lat': 24.9857145, 'lng': 55.0272904}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.0396306, 'lng': 55.15686040000001}, 'southwest': {'lat': 24.8917309, 'lng': 54.9486968}}}, 'place_id': 'ChIJqQlYMxISXz4RCjDF4Y0MTqE', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al SafaAl Safa 2 - Dubai - United Arab Emirates,25.1586178,55.2245398,ChIJaVOfZCBqXz4RWfomWSr4UOI,"Al Lusaily ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Safa 2', 'short_name': 'Al Safa 2', 'types': ['neighborhood', 'political']}, {'long_name': 'Al Safa', 'short_name': 'Al Safa', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al SafaAl Safa 2 - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.1693148, 'lng': 55.2342904}, 'southwest': {'lat': 25.1509175, 'lng': 55.2163141}}, 'location': {'lat': 25.1586178, 'lng': 55.2245398}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.1693148, 'lng': 55.2342904}, 'southwest': {'lat': 25.1509175, 'lng': 55.2163141}}}, 'place_id': 'ChIJaVOfZCBqXz4RWfomWSr4UOI', 'types': ['neighborhood', 'political']}], 'status': 'OK'}"
Al Aweer - Dubai - United Arab Emirates,25.1449353,55.501084,ChIJJTsL59qJ9T4RTdjU9AczyMs,"Al Ruwayyah ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Aweer', 'short_name': 'Al Aweer', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Aweer - Dubai - United Arab Emirates', 'geometry': {'location': {'lat': 25.1449353, 'lng': 55.501084}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 25.1462842802915, 'lng': 55.5024329802915}, 'southwest': {'lat': 25.1435863197085, 'lng': 55.4997350197085}}}, 'place_id': 'ChIJJTsL59qJ9T4RTdjU9AczyMs', 'plus_code': {'compound_code': '4GV2+XC Al Aweer - Dubai - United Arab Emirates', 'global_code': '7HQQ4GV2+XC'}, 'types': ['establishment', 'point_of_interest']}], 'status': 'OK'}"
Margham - Sharjah - United Arab Emirates,24.9037042,55.6273332,ChIJ_yKsExV59T4R6-vm_oHWy9s,"Margham ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Margham', 'short_name': 'Margham', 'types': ['locality', 'political']}, {'long_name': 'Sharjah', 'short_name': 'Sharjah', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Margham - Sharjah - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 24.9198342, 'lng': 55.64334880000001}, 'southwest': {'lat': 24.8869816, 'lng': 55.5976868}}, 'location': {'lat': 24.9037042, 'lng': 55.6273332}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 24.9198342, 'lng': 55.64334880000001}, 'southwest': {'lat': 24.8869816, 'lng': 55.5976868}}}, 'place_id': 'ChIJ_yKsExV59T4R6-vm_oHWy9s', 'types': ['locality', 'political']}], 'status': 'OK'}"
Al Bada'a - Dubai - United Arab Emirates,25.2247272,55.2687419,ChIJd0RKSFhCXz4RFnWDeOIE2TU,"Al Bada ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': ""Al Bada'a"", 'short_name': ""Al Bada'a"", 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': ""Al Bada'a - Dubai - United Arab Emirates"", 'geometry': {'bounds': {'northeast': {'lat': 25.2388905, 'lng': 55.2786323}, 'southwest': {'lat': 25.2101128, 'lng': 55.25708539999999}}, 'location': {'lat': 25.2247272, 'lng': 55.26874189999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2388905, 'lng': 55.2786323}, 'southwest': {'lat': 25.2101128, 'lng': 55.25708539999999}}}, 'place_id': 'ChIJd0RKSFhCXz4RFnWDeOIE2TU', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Al Karama - Dubai - United Arab Emirates,25.2489204,55.3060551,ChIJ5Rw5v9dCXz4R3SUtcL5ZLMk,"Al Karama ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Karama', 'short_name': 'Al Karama', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Karama - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2543132, 'lng': 55.3137476}, 'southwest': {'lat': 25.2350504, 'lng': 55.29625429999999}}, 'location': {'lat': 25.2489204, 'lng': 55.30605509999999}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.2543132, 'lng': 55.3137476}, 'southwest': {'lat': 25.2350504, 'lng': 55.29625429999999}}}, 'place_id': 'ChIJ5Rw5v9dCXz4R3SUtcL5ZLMk', 'types': ['political', 'sublocality', 'sublocality_level_1']}], 'status': 'OK'}"
Dubai - United Arab Emirates,25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,"Al-Raulah ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.3585607, 'lng': 55.5650393}, 'southwest': {'lat': 24.7921359, 'lng': 54.89045429999999}}, 'location': {'lat': 25.2048493, 'lng': 55.2707828}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 25.3585607, 'lng': 55.5650393}, 'southwest': {'lat': 24.7921359, 'lng': 54.89045429999999}}}, 'partial_match': True, 'place_id': 'ChIJRcbZaklDXz4RYlEphFBu5r0', 'types': ['locality', 'political']}], 'status': 'OK'}"
Al Musalla Rd - Deira - Dubai - United Arab Emirates,25.273365,55.3065221,ChIJVwkIAE9DXz4RYHYBHCIFyfU,"Al Musalla (Dubai) ,  Dubai , United Arab Emirates","{'results': [{'address_components': [{'long_name': 'Al Musalla Road', 'short_name': 'Al Musalla Rd', 'types': ['route']}, {'long_name': 'Deira', 'short_name': 'Deira', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['locality', 'political']}, {'long_name': 'Dubai', 'short_name': 'Dubai', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United Arab Emirates', 'short_name': 'AE', 'types': ['country', 'political']}], 'formatted_address': 'Al Musalla Rd - Deira - Dubai - United Arab Emirates', 'geometry': {'bounds': {'northeast': {'lat': 25.2771867, 'lng': 55.3081285}, 'southwest': {'lat': 25.2690117, 'lng': 55.3046728}}, 'location': {'lat': 25.273365, 'lng': 55.3065221}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 25.2771867, 'lng': 55.3081285}, 'southwest': {'lat': 25.2690117, 'lng': 55.3046728}}}, 'place_id': 'ChIJVwkIAE9DXz4RYHYBHCIFyfU', 'types': ['route']}], 'status': 'OK'}"
